0,1,2,3,4,5,6,7,8,9,10,11,12
"('title', 'A New Kind of War Has Come for NATO—And Russia Has the Upper Hand - Newsweek')","('url', 'https://newsweek.com/a-new-kind-of-war-has-come-for-natoand-russia-has-the-upper-hand-11216868')","('content', 'With peace in Ukraine still elusive, progress from U.S. initiatives have officials discussing a postwar security landscape.')","('description', 'With peace in Ukraine still elusive, progress from U.S. initiatives have officials discussing a postwar security landscape.')","('source', 'web')","('price', 0.0015)","('length', 123)","('image_url', {'0': 'https://imgs.search.brave.com/AvpuELMcvgczBBB6CZrWjPQr8YwgNC3gimWTimE3t6A/rs:fit:200:200:1:0/g:ce/aHR0cHM6Ly9hc3Nl/dHMubmV3c3dlZWsu/Y29tL3dwLWNvbnRl/bnQvdXBsb2Fkcy8y/MDI1LzEyL05BVE8t/U3RydWdnbGVzLXRv/LUZhY2UtQS1OZXct/S2luZC1vZi1XYXIt/d2l0aC1SdXNzaWEu/anBnP3c9MTIwMGNy/b3A9MQ'})","('relevance_score', None)","('data_type', 'unstructured')","('source_type', 'website')","('publication_date', '2025-12-17')","('id', 'https://newsweek.com/a-new-kind-of-war-has-come-for-natoand-russia-has-the-upper-hand-11216868')"
"('title', 'Furious military chiefs demand more cash to protect Britain as fresh investment in defence delayed - despite growing Russian threat | Daily Mail Online')","('url', 'https://www.dailymail.co.uk/news/article-15393117/Furious-military-chiefs-demand-cash-protect-Britain-fresh-investment-defence-delayed-despite-growing-Russian-threat.html')","('content', ""Britain's defence spending plans were plunged into chaos last night after the Prime Minister reportedly blocked a major investment boost."")","('description', ""Britain's defence spending plans were plunged into chaos last night after the Prime Minister reportedly blocked a major investment boost."")","('source', 'web')","('price', 0.0015)","('length', 137)","('image_url', {'0': 'https://imgs.search.brave.com/lFInDcYuDGlKbre73CsVZ3pAhUt_nCDXsT7YloUCaxA/rs:fit:200:200:1:0/g:ce/aHR0cHM6Ly9pLmRh/aWx5bWFpbC5jby51/ay8xcy8yMDI1LzEy/LzE3LzE4LzEwNDgw/MDkwMS0wLWltYWdl/LWEtOF8xNzY1OTk3/ODA1NTkxLmpwZw'})","('relevance_score', None)","('data_type', 'unstructured')","('source_type', 'website')","('publication_date', '2025-12-17')","('id', 'https://www.dailymail.co.uk/news/article-15393117/Furious-military-chiefs-demand-cash-protect-Britain-fresh-investment-defence-delayed-despite-growing-Russian-threat.html')"
"('title', 'US Senate passes $901bn defence bill | Military News | Al Jazeera')","('url', 'https://www.aljazeera.com/news/2025/12/17/us-senate-passes-901bn-defence-bill')","('content', ""Legislation reflects Democrats' efforts to seek tighter oversight of Trump administration's military action."")","('description', ""Legislation reflects Democrats' efforts to seek tighter oversight of Trump administration's military action."")","('source', 'web')","('price', 0.0015)","('length', 108)","('image_url', {'0': 'https://imgs.search.brave.com/MF5Ibq2amn0I1rtEIwtcp1cgO8JAuBi0WDIysm38dsE/rs:fit:200:200:1:0/g:ce/aHR0cHM6Ly93d3cu/YWxqYXplZXJhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/NS8wMy8yMDIyLTAz/LTEyVDAwMjQyNlpf/MTAyMjk2MDY2NF9S/QzJMMFQ5RjI4WEFf/UlRSTUFEUF8zX1VL/UkFJTkUtQ1JJU0lT/LVVTQS0xNzQyODI5/OTcyLmpwZz9yZXNp/emU9MTkyMCUyQzE0/NDA'})","('relevance_score', None)","('data_type', 'unstructured')","('source_type', 'website')","('publication_date', '2025-12-17')","('id', 'https://www.aljazeera.com/news/2025/12/17/us-senate-passes-901bn-defence-bill')"
"('title', 'Your expert guide to the 2026 National Defense Authorization Act - Atlantic Council')","('url', 'https://atlanticcouncil.org/dispatches/your-expert-guide-to-the-2026-national-defense-authorization-act')","('content', ""As the Senate sends the annual defense policy bill to the president's desk, Atlantic Council experts dig into the details."")","('description', ""As the Senate sends the annual defense policy bill to the president's desk, Atlantic Council experts dig into the details."")","('source', 'web')","('price', 0.0015)","('length', 122)","('image_url', {'0': 'https://imgs.search.brave.com/TOnGQjLCXM0EMruFGLboyev0b_aYYKBS8qTKaA0KOrM/rs:fit:200:200:1:0/g:ce/aHR0cHM6Ly93d3cu/YXRsYW50aWNjb3Vu/Y2lsLm9yZy93cC1j/b250ZW50L3VwbG9h/ZHMvMjAyNS8xMi8y/MDI1LTEyLTA0VDA4/MjA1M1pfNzk3NjA5/MzQxX01UMVNJUEEw/MDA5U0s5RjlfUlRS/TUFEUF8zX1NJUEEt/VVNBLXNjYWxlZC5q/cGc'})","('relevance_score', None)","('data_type', 'unstructured')","('source_type', 'website')","('publication_date', '2025-12-17')","('id', 'https://atlanticcouncil.org/dispatches/your-expert-guide-to-the-2026-national-defense-authorization-act')"
"('title', 'Ministry of Defence - GOV.UK')","('url', 'https://www.gov.uk/government/organisations/ministry-of-defence')","('content', 'We work for a secure and prosperous United Kingdom with global reach and influence. We will protect our people, territories, values and interests at home and overseas, through strong armed forces and in partnership with allies, to ensure our security, support our national interests and safeguard ...')","('description', 'We work for a secure and prosperous United Kingdom with global reach and influence. We will protect our people, territories, values and interests at home and overseas, through strong armed forces and in partnership with allies, to ensure our security, support our national interests and safeguard ...')","('source', 'web')","('price', 0.0015)","('length', 300)","('image_url', {'0': 'https://imgs.search.brave.com/eqFKixm83368Tnlx8PlcA9PzlC4eCJdMthCjQ7CnS_E/rs:fit:200:200:1:0/g:ce/aHR0cHM6Ly93d3cu/Z292LnVrL2Fzc2V0/cy9jb2xsZWN0aW9u/cy9nb3Z1ay1vcGVu/Z3JhcGgtaW1hZ2Ut/NDE5NmE0ZDYzMzNj/ZjkyYWFmNzIwMDQ3/ZjU2Y2ZkOTFiMzUz/MmQ3NjM1ZmMyMWVi/Y2YwZDU4OTdkZjZi/NWY3Ny5wbmc'})","('relevance_score', None)","('data_type', 'unstructured')","('source_type', 'website')","('publication_date', '2025-12-18')","('id', 'https://www.gov.uk/government/organisations/ministry-of-defence')"
"('title', 'Chinese state threat activities in the UK - House of Commons Library')","('url', 'https://commonslibrary.parliament.uk/research-briefings/cbp-10417')","('content', 'China has been accused of conducting state-threat activities in the UK such as industrial espionage, cyber-attacks, and spying on politicians. The UK Government has responded by passing new legislation to counter state threats, while still trying to pursue stronger economic relations with China.')","('description', 'China has been accused of conducting state-threat activities in the UK such as industrial espionage, cyber-attacks, and spying on politicians. The UK Government has responded by passing new legislation to counter state threats, while still trying to pursue stronger economic relations with China.')","('source', 'web')","('price', 0.0015)","('length', 296)","('image_url', {'0': 'https://imgs.search.brave.com/MeuVL9FSx2mWJl1TTp2xDjzvj-dAltmUWTG5HUzUpYA/rs:fit:200:200:1:0/g:ce/aHR0cHM6Ly9jb21t/b25zbGlicmFyeS5w/YXJsaWFtZW50LnVr/L2NvbnRlbnQvdXBs/b2Fkcy8yMDIwLzA4/L2ludGVybmF0aW9u/YWwtdHJhZGUtc2Nh/bGVkLmpwZw'})","('relevance_score', None)","('data_type', 'unstructured')","('source_type', 'website')","('publication_date', '2025-12-18')","('id', 'https://commonslibrary.parliament.uk/research-briefings/cbp-10417')"
"('title', 'UK spying laws could result in overreach and real harm, says review | UK security and counter-terrorism | The Guardian')","('url', 'https://theguardian.com/uk-news/2025/dec/16/uk-spying-laws-could-result-in-overreach-real-harm-review')","('content', 'Jonathan Hall KC warns of people being wrongly investigated and of impact on journalists and thinktanks')","('description', 'Jonathan Hall KC warns of people being wrongly investigated and of impact on journalists and thinktanks')","('source', 'web')","('price', 0.0015)","('length', 103)","('image_url', {'0': 'https://imgs.search.brave.com/fFbO-2tzf6WpHUqvYjSoHnAn_bmrTm95_M5S7e7p6_0/rs:fit:200:200:1:0/g:ce/aHR0cHM6Ly9pLmd1/aW0uY28udWsvaW1n/L21lZGlhL2Q1MzFl/NzFmMzZkZjg1MWI5/NDgyZWM4NmU3OWJk/NjA1MzU2MmRmNTUv/MzM2XzBfNDExOF8z/Mjk0L21hc3Rlci80/MTE4LmpwZz93aWR0/aD0xMjAwJmhlaWdo/dD02MzAmcXVhbGl0/eT04NSZhdXRvPWZv/cm1hdCZmaXQ9Y3Jv/cCZwcmVjcm9wPTQw/OjIxLG9mZnNldC14/NTAsb2Zmc2V0LXkw/Jm92ZXJsYXktYWxp/Z249Ym90dG9tJTJD/bGVmdCZvdmVybGF5/LXdpZHRoPTEwMHAm/b3ZlcmxheS1iYXNl/NjQ9TDJsdFp5OXpk/R0YwYVdNdmIzWmxj/bXhoZVhNdmRHY3Ra/R1ZtWVhWc2RDNXdi/bWMmZW5hYmxlPXVw/c2NhbGUmcz01MTM0/YTE5YmFlMGE2ZGE1/NzdiM2E2YmUwYjQx/NGZmZg'})","('relevance_score', None)","('data_type', 'unstructured')","('source_type', 'website')","('publication_date', '2025-12-16')","('id', 'https://theguardian.com/uk-news/2025/dec/16/uk-spying-laws-could-result-in-overreach-real-harm-review')"
"('title', 'Trump signs defence bill restricting investment in Chinese tech, military firms | South China Morning Post')","('url', 'https://www.scmp.com/news/us/diplomacy/article/3336981/trump-signs-defence-bill-restricting-investment-chinese-tech-military-firms')","('content', 'Key provisions target contracts with Chinese biotech companies and outbound investment in technologies with military applications in China.')","('description', 'Key provisions target contracts with Chinese biotech companies and outbound investment in technologies with military applications in China.')","('source', 'web')","('price', 0.0015)","('length', 139)","('image_url', {'0': 'https://imgs.search.brave.com/rM-9Tj4TcuQf8Mr55iBetJre14iwjzSU3h8H0I8dum4/rs:fit:200:200:1:0/g:ce/aHR0cHM6Ly9jZG4u/aS1zY21wLmNvbS9z/aXRlcy9kZWZhdWx0/L2ZpbGVzL3N0eWxl/cy9vZ19pbWFnZV9z/Y21wX2dlbmVyaWMv/cHVibGljL2Q4L2lt/YWdlcy9jYW52YXMv/MjAyNS8xMi8xOS9l/MDJjMmQ1My05ZTM1/LTRmNmQtYjU5MC05/MjkyNTcyY2Q4NDhf/M2JkMDgwOTAuanBn/P2l0b2s9YmptZGFZ/OXImYW1wO3Y9MTc2/NjEwMjA0NQ'})","('relevance_score', None)","('data_type', 'unstructured')","('source_type', 'website')","('publication_date', '2025-12-18')","('id', 'https://www.scmp.com/news/us/diplomacy/article/3336981/trump-signs-defence-bill-restricting-investment-chinese-tech-military-firms')"
"('title', 'Senate passes NDAA defense bill for military spending: Here’s what’s included')","('url', 'https://19thnews.org/2025/12/2026-ndaa-defense-bill-military-spending')","('content', 'The 2026 National Defense Authorization Act includes provisions related to parental leave — but notably excludes provisions that would have provided IVF coverage for active-duty military.')","('description', 'The 2026 National Defense Authorization Act includes provisions related to parental leave — but notably excludes provisions that would have provided IVF coverage for active-duty military.')","('source', 'web')","('price', 0.0015)","('length', 187)","('image_url', {'0': 'https://imgs.search.brave.com/ipU68Yylk2GwgL1zkFQelWsmQBqZgJ3tpri0SXeROTg/rs:fit:200:200:1:0/g:ce/aHR0cHM6Ly8xOXRo/bmV3cy5vcmcvd3At/Y29udGVudC91cGxv/YWRzLzIwMjUvMTIv/TkRBQS5qcGc'})","('relevance_score', None)","('data_type', 'unstructured')","('source_type', 'website')","('publication_date', '2025-12-17')","('id', 'https://19thnews.org/2025/12/2026-ndaa-defense-bill-military-spending')"
"('title', 'Fortune')","('url', 'https://fortune.com/2025/12/17/uk-defence-chief-calls-gen-z-grads-leaving-college-skip-corporate-jobs-join-military-war-with-russia-growing-risk-career-advice/')","('content', 'College graduates are stepping out of university and into an uncertain labor market—but the U.K.’s chief of the defense staff says the government’s defense department is ready to employ them with open arms · While warning the nation of the escalating potential of conflict with Russia, ...')","('description', 'College graduates are stepping out of university and into an uncertain labor market—but the U.K.’s chief of the defense staff says the government’s defense department is ready to employ them with open arms · While warning the nation of the escalating potential of conflict with Russia, ...')","('source', 'web')","('price', 0.0015)","('length', 289)","('image_url', None)","('relevance_score', None)","('data_type', 'unstructured')","('source_type', 'website')","('publication_date', '2025-12-17')","('id', 'https://fortune.com/2025/12/17/uk-defence-chief-calls-gen-z-grads-leaving-college-skip-corporate-jobs-join-military-war-with-russia-growing-risk-career-advice/')"
